feed_name,feed_url,feed_at_uri,feed_cid,creator_did,creator_handle,like_count,feed_tag
Leftsky (English),https://bsky.app/profile/nihilism.bsky.social/feed/aaafgqcc2ucke,at://did:plc:6ar2njsramxjgfljrvr5bjr4/app.bsky.feed.generator/aaafgqcc2ucke,bafyreigxddatdl7ti7ayrs77j35fyrsf54qfcloz44kvnmxu7yr5mtgy2e,did:plc:6ar2njsramxjgfljrvr5bjr4,nihilism.bsky.social,2,XL
Alabama Progressives,https://bsky.app/profile/minervab.bsky.social/feed/aaaj6pfaw4fe6,at://did:plc:jhdqdhrfdsfn3xpp2wcxubpw/app.bsky.feed.generator/aaaj6pfaw4fe6,bafyreihhedos4hwk2y4aa6mhygnuptj4wpj4dgn4ysst4n5txudhde22ci,did:plc:jhdqdhrfdsfn3xpp2wcxubpw,minervab.bsky.social,1,PL
DemSec,https://bsky.app/profile/harrisonfork.com/feed/aaaibyiwi4sjy,at://did:plc:gxjdstjx4o7r55fsxvlbqcp3/app.bsky.feed.generator/aaaibyiwi4sjy,bafyreifs33kmjofv7eilnt76zs4cwsec4wpn7ea2l5jfpaezoy5vqmvn4m,did:plc:gxjdstjx4o7r55fsxvlbqcp3,harrisonfork.com,1,PL
Feed The Resistance,https://bsky.app/profile/sn208.bsky.social/feed/feed-resistance,at://did:plc:2szgismvwizpoix2uitfldyi/app.bsky.feed.generator/feed-resistance,bafyreigvpk667fdb65flz7jbh23zkdm27bnfz7skyv6xspqpimq7ao4zra,did:plc:2szgismvwizpoix2uitfldyi,sn208.bsky.social,1,XL
KJK FOMO,https://bsky.app/profile/kevinjkircher.com/feed/aaao7j2imlxdc,at://did:plc:2zytqzub4mwqb5m7zvefdrpw/app.bsky.feed.generator/aaao7j2imlxdc,bafyreiae3yffmmroxvcseyqnnhusaicrxgxs5f5etjgjqsmfjtnba6rohi,did:plc:2zytqzub4mwqb5m7zvefdrpw,kevinjkircher.com,1,PL
MI Dems Posts,https://bsky.app/profile/whitchmi.bsky.social/feed/aaabrpu6osubu,at://did:plc:t75plljzwvjf74bsycalg4oh/app.bsky.feed.generator/aaabrpu6osubu,bafyreiezsn2sfntrr2yrnqoovuyh5d4kj5hjozafhmbfalc7rqy5xi4jhq,did:plc:t75plljzwvjf74bsycalg4oh,whitchmi.bsky.social,1,CL
NYC Mayor Zohran Mamdani,https://bsky.app/profile/lumincity.bsky.social/feed/aaabmwanwtjfo,at://did:plc:xyeqeupgj27lcnyqybcunrwe/app.bsky.feed.generator/aaabmwanwtjfo,bafyreihxpocfbcz3o4muqf56n5yvkoakqr3gzrn3fu3ihvcsn6l2zspi5y,did:plc:xyeqeupgj27lcnyqybcunrwe,lumincity.bsky.social,1,PL
Republican Criticism,https://bsky.app/profile/bluetrends.bsky.social/feed/republican-criticism,at://did:plc:dnne5gbk6yjt4ej7as4x3ikl/app.bsky.feed.generator/republican-criticism,bafyreif27agfpdm2p7f3m73qtgu65kytzz5sn6rw7biqo54f67z6y53hxq,did:plc:dnne5gbk6yjt4ej7as4x3ikl,bluetrends.bsky.social,1,PL
ResistSky,https://bsky.app/profile/erihapo.bsky.social/feed/aaaictec66z5e,at://did:plc:cl2io6vhb3bvyrahm4staig7/app.bsky.feed.generator/aaaictec66z5e,bafyreid4biztaawjacs2tlqc3qgstufxt6btijoa62y24izmywfht72zs4,did:plc:cl2io6vhb3bvyrahm4staig7,erihapo.bsky.social,1,XL
Texas Dems,https://bsky.app/profile/bluetrends.bsky.social/feed/texas-elections,at://did:plc:dnne5gbk6yjt4ej7as4x3ikl/app.bsky.feed.generator/texas-elections,bafyreid3usk2vmtawtsk3qj6uh46cpus4wngqjfaa2dk3bnazinj6poitm,did:plc:dnne5gbk6yjt4ej7as4x3ikl,bluetrends.bsky.social,1,CL
